produto;sexo;idade_atingida;resgate_por_1mm;n_estudos;dispersao_pct
ICATU_HORIZONTE_WL10;M;28;286018.66;1;0.0000
ICATU_HORIZONTE_WL10;M;29;293376.15;2;0.0000
ICATU_HORIZONTE_WL10;M;30;300959.63;3;0.0000
ICATU_HORIZONTE_WL10;M;31;308769.62;4;0.0000
ICATU_HORIZONTE_WL10;M;32;316792.20;5;0.0000
ICATU_HORIZONTE_WL10;M;33;325035.73;6;0.0000
ICATU_HORIZONTE_WL10;M;34;333486.84;7;0.0000
ICATU_HORIZONTE_WL10;M;35;342147.37;8;0.0000
ICATU_HORIZONTE_WL10;M;36;351012.05;9;0.0000
ICATU_HORIZONTE_WL10;M;37;360076.34;10;0.0000
ICATU_HORIZONTE_WL10;M;38;369329.43;11;0.0000
ICATU_HORIZONTE_WL10;M;39;378768.02;12;0.0000
ICATU_HORIZONTE_WL10;M;40;388382.53;13;0.0000
ICATU_HORIZONTE_WL10;M;41;398170.82;14;0.0000
ICATU_HORIZONTE_WL10;M;42;408118.32;15;0.0000
ICATU_HORIZONTE_WL10;M;43;418237.14;16;0.0000
ICATU_HORIZONTE_WL10;M;44;428513.78;17;0.0000
ICATU_HORIZONTE_WL10;M;45;438955.39;18;0.0000
ICATU_HORIZONTE_WL10;M;46;449550.75;19;0.0000
ICATU_HORIZONTE_WL10;M;47;460308.53;20;0.0000
ICATU_HORIZONTE_WL10;M;48;471225.48;21;0.0000
ICATU_HORIZONTE_WL10;M;49;482305.88;22;0.0000
ICATU_HORIZONTE_WL10;M;50;493537.86;23;0.0000
ICATU_HORIZONTE_WL10;M;51;504923.23;24;0.0000
ICATU_HORIZONTE_WL10;M;52;516431.93;25;0.0000
ICATU_HORIZONTE_WL10;M;53;528049.27;26;0.0000
ICATU_HORIZONTE_WL10;M;54;539751.48;27;0.0000
ICATU_HORIZONTE_WL10;M;55;551513.10;28;0.4260
ICATU_HORIZONTE_WL10;M;56;563331.78;29;0.8895
ICATU_HORIZONTE_WL10;M;57;575195.85;30;1.3863
ICATU_HORIZONTE_WL10;M;58;587116.20;31;1.9153
ICATU_HORIZONTE_WL10;M;59;599089.97;32;2.4803
ICATU_HORIZONTE_WL10;M;60;611113.93;33;3.0796
ICATU_HORIZONTE_WL10;M;61;623166.26;34;3.7191
ICATU_HORIZONTE_WL10;M;62;635223.11;35;4.3946
ICATU_HORIZONTE_WL10;M;63;647249.42;36;5.1082
ICATU_HORIZONTE_WL10;M;64;659205.33;37;5.8603
ICATU_HORIZONTE_WL10;M;65;671062.49;38;6.6492
ICATU_HORIZONTE_WL10;M;66;682801.62;39;7.4801
ICATU_HORIZONTE_WL10;M;67;694427.27;40;8.3530
ICATU_HORIZONTE_WL10;M;68;705942.44;41;9.2753
ICATU_HORIZONTE_WL10;M;69;717355.98;42;10.2504
ICATU_HORIZONTE_WL10;M;70;728658.26;43;11.2834
ICATU_HORIZONTE_WL10;M;71;739807.43;44;12.3774
ICATU_HORIZONTE_WL10;M;72;750749.41;45;13.5360
ICATU_HORIZONTE_WL10;M;73;761411.37;46;14.7616
ICATU_HORIZONTE_WL10;M;74;771714.05;47;16.0559
ICATU_HORIZONTE_WL10;M;75;781617.46;48;17.4201
ICATU_HORIZONTE_WL10;M;76;791116.35;49;18.8556
ICATU_HORIZONTE_WL10;M;77;800235.20;50;19.9765
ICATU_HORIZONTE_WL10;M;78;809020.81;51;19.0979
ICATU_HORIZONTE_WL10;M;79;817535.15;52;18.2465
ICATU_HORIZONTE_WL10;M;80;825797.85;53;17.4202
ICATU_HORIZONTE_WL10;M;81;836328.68;54;16.6216
ICATU_HORIZONTE_WL10;M;82;846692.02;55;15.8549
ICATU_HORIZONTE_WL10;M;83;857029.92;56;15.1284
ICATU_HORIZONTE_WL10;M;84;867070.49;57;14.4496
ICATU_HORIZONTE_WL10;M;85;877017.15;58;13.8190
ICATU_HORIZONTE_WL10;M;86;883336.26;58;13.2327
ICATU_HORIZONTE_WL10;M;87;889303.26;58;12.6830
ICATU_HORIZONTE_WL10;M;88;895008.31;58;12.1609
ICATU_HORIZONTE_WL10;M;89;900558.50;58;11.6557
ICATU_HORIZONTE_WL10;M;90;906072.83;58;11.1556
ICATU_HORIZONTE_WL10;M;91;911681.39;58;10.6477
ICATU_HORIZONTE_WL10;M;92;917534.76;58;10.1168
ICATU_HORIZONTE_WL10;M;93;923797.77;58;9.5466
ICATU_HORIZONTE_WL10;M;94;930650.93;58;8.9191
ICATU_HORIZONTE_WL10;M;95;938092.02;58;8.2345
ICATU_HORIZONTE_WL10;M;96;945930.95;58;7.5119
ICATU_HORIZONTE_WL10;M;97;953613.23;58;6.8068
ICATU_HORIZONTE_WL10;M;98;960220.45;58;6.2112
ICATU_HORIZONTE_WL10;M;99;965845.09;58;5.7157
ICATU_HORIZONTE_WL10;M;100;1000000.00;58;0.0000
ICATU_HORIZONTE_WL10;F;28;252651.11;1;0.0000
ICATU_HORIZONTE_WL10;F;29;259279.91;2;0.0000
ICATU_HORIZONTE_WL10;F;30;266086.27;3;0.0000
ICATU_HORIZONTE_WL10;F;31;273068.66;4;0.0000
ICATU_HORIZONTE_WL10;F;32;280233.55;5;0.0000
ICATU_HORIZONTE_WL10;F;33;287587.40;6;0.0000
ICATU_HORIZONTE_WL10;F;34;295136.90;7;0.0000
ICATU_HORIZONTE_WL10;F;35;302866.92;8;0.0000
ICATU_HORIZONTE_WL10;F;36;310792.45;9;0.0000
ICATU_HORIZONTE_WL10;F;37;318891.70;10;0.0000
ICATU_HORIZONTE_WL10;F;38;327158.79;11;0.0000
ICATU_HORIZONTE_WL10;F;39;335587.68;12;0.0000
ICATU_HORIZONTE_WL10;F;40;344165.72;13;0.0000
ICATU_HORIZONTE_WL10;F;41;352887.93;14;0.0000
ICATU_HORIZONTE_WL10;F;42;361749.47;15;0.0000
ICATU_HORIZONTE_WL10;F;43;370752.71;16;0.0000
ICATU_HORIZONTE_WL10;F;44;379913.52;17;0.0000
ICATU_HORIZONTE_WL10;F;45;389234.33;18;0.0000
ICATU_HORIZONTE_WL10;F;46;398718.69;19;0.0000
ICATU_HORIZONTE_WL10;F;47;408377.08;20;0.0000
ICATU_HORIZONTE_WL10;F;48;418213.82;21;0.0000
ICATU_HORIZONTE_WL10;F;49;428221.72;22;0.0000
ICATU_HORIZONTE_WL10;F;50;438401.21;23;0.0000
ICATU_HORIZONTE_WL10;F;51;448747.15;24;0.0000
ICATU_HORIZONTE_WL10;F;52;459261.60;25;0.0000
ICATU_HORIZONTE_WL10;F;53;469935.48;26;0.0000
ICATU_HORIZONTE_WL10;F;54;480750.20;27;0.0000
ICATU_HORIZONTE_WL10;F;55;491717.57;28;0.0000
ICATU_HORIZONTE_WL10;F;56;502842.87;29;0.0000
ICATU_HORIZONTE_WL10;F;57;514143.74;30;0.0000
ICATU_HORIZONTE_WL10;F;58;525648.53;31;0.2126
ICATU_HORIZONTE_WL10;F;59;537385.42;32;0.5290
ICATU_HORIZONTE_WL10;F;60;549357.77;33;0.8446
ICATU_HORIZONTE_WL10;F;61;561557.79;34;1.1591
ICATU_HORIZONTE_WL10;F;62;573947.22;35;1.4800
ICATU_HORIZONTE_WL10;F;63;586475.84;36;1.8128
ICATU_HORIZONTE_WL10;F;64;599072.31;37;2.1630
ICATU_HORIZONTE_WL10;F;65;611701.54;38;2.5415
ICATU_HORIZONTE_WL10;F;66;624357.14;39;2.9532
ICATU_HORIZONTE_WL10;F;67;637051.03;40;3.4053
ICATU_HORIZONTE_WL10;F;68;649817.33;41;3.9058
ICATU_HORIZONTE_WL10;F;69;662706.46;42;4.4613
ICATU_HORIZONTE_WL10;F;70;675717.74;43;5.0769
ICATU_HORIZONTE_WL10;F;71;688816.98;44;5.7584
ICATU_HORIZONTE_WL10;F;72;701933.30;45;6.5061
ICATU_HORIZONTE_WL10;F;73;714962.05;46;7.3204
ICATU_HORIZONTE_WL10;F;74;727794.87;47;8.1953
ICATU_HORIZONTE_WL10;F;75;740351.37;48;9.1339
ICATU_HORIZONTE_WL10;F;76;752594.43;49;10.1457
ICATU_HORIZONTE_WL10;F;77;764516.13;50;11.2453
ICATU_HORIZONTE_WL10;F;78;776139.50;51;12.4524
ICATU_HORIZONTE_WL10;F;79;787492.72;52;13.7930
ICATU_HORIZONTE_WL10;F;80;798573.25;53;15.2814
ICATU_HORIZONTE_WL10;F;81;809335.53;54;16.9229
ICATU_HORIZONTE_WL10;F;82;819709.41;55;18.0291
ICATU_HORIZONTE_WL10;F;83;829606.47;56;17.0394
ICATU_HORIZONTE_WL10;F;84;838941.54;57;16.1058
ICATU_HORIZONTE_WL10;F;85;847700.73;58;15.2299
ICATU_HORIZONTE_WL10;F;86;855904.77;58;14.4095
ICATU_HORIZONTE_WL10;F;87;863602.25;58;13.6398
ICATU_HORIZONTE_WL10;F;88;870861.27;58;12.9139
ICATU_HORIZONTE_WL10;F;89;877766.30;58;12.2234
ICATU_HORIZONTE_WL10;F;90;884413.37;58;11.5587
ICATU_HORIZONTE_WL10;F;91;890912.94;58;10.9087
ICATU_HORIZONTE_WL10;F;92;897394.53;58;10.2605
ICATU_HORIZONTE_WL10;F;93;904000.93;58;9.5999
ICATU_HORIZONTE_WL10;F;94;910883.73;58;8.9116
ICATU_HORIZONTE_WL10;F;95;918100.92;58;8.1899
ICATU_HORIZONTE_WL10;F;96;925481.47;58;7.4519
ICATU_HORIZONTE_WL10;F;97;932501.35;58;6.7499
ICATU_HORIZONTE_WL10;F;98;938292.62;58;6.1707
ICATU_HORIZONTE_WL10;F;99;943020.09;58;5.6980
ICATU_HORIZONTE_WL10;F;100;1000000.00;58;0.0000
MAG_WL_INTEGRAL_10;M;26;278047.77;1;0.0000
MAG_WL_INTEGRAL_10;M;27;284210.55;2;0.0000
MAG_WL_INTEGRAL_10;M;28;290543.33;3;0.0000
MAG_WL_INTEGRAL_10;M;29;297051.84;4;0.0000
MAG_WL_INTEGRAL_10;M;30;303719.99;5;0.0000
MAG_WL_INTEGRAL_10;M;31;310549.97;6;0.0000
MAG_WL_INTEGRAL_10;M;32;317542.68;7;0.0000
MAG_WL_INTEGRAL_10;M;33;324699.15;8;0.0000
MAG_WL_INTEGRAL_10;M;34;332014.95;9;0.0000
MAG_WL_INTEGRAL_10;M;35;339500.43;10;0.0000
MAG_WL_INTEGRAL_10;M;36;347158.51;11;0.0000
MAG_WL_INTEGRAL_10;M;37;354984.11;12;0.0000
MAG_WL_INTEGRAL_10;M;38;362959.72;13;0.0000
MAG_WL_INTEGRAL_10;M;39;371106.60;14;0.0000
MAG_WL_INTEGRAL_10;M;40;379434.24;15;0.0000
MAG_WL_INTEGRAL_10;M;41;387932.96;16;0.0000
MAG_WL_INTEGRAL_10;M;42;396590.31;17;0.0000
MAG_WL_INTEGRAL_10;M;43;405392.50;18;0.0000
MAG_WL_INTEGRAL_10;M;44;414360.19;19;0.0000
MAG_WL_INTEGRAL_10;M;45;423489.15;20;0.0000
MAG_WL_INTEGRAL_10;M;46;432780.99;21;0.0000
MAG_WL_INTEGRAL_10;M;47;442225.97;22;0.0000
MAG_WL_INTEGRAL_10;M;48;451817.89;23;0.0000
MAG_WL_INTEGRAL_10;M;49;461531.93;24;0.0000
MAG_WL_INTEGRAL_10;M;50;471386.78;25;0.0000
MAG_WL_INTEGRAL_10;M;51;481325.23;26;0.0000
MAG_WL_INTEGRAL_10;M;52;491343.24;27;0.0000
MAG_WL_INTEGRAL_10;M;53;501425.49;28;0.0000
MAG_WL_INTEGRAL_10;M;54;511572.28;29;0.0000
MAG_WL_INTEGRAL_10;M;55;521841.71;30;0.0000
MAG_WL_INTEGRAL_10;M;56;532178.72;31;0.0000
MAG_WL_INTEGRAL_10;M;57;542611.24;32;0.0000
MAG_WL_INTEGRAL_10;M;58;553105.35;33;0.0000
MAG_WL_INTEGRAL_10;M;59;563720.38;34;0.0000
MAG_WL_INTEGRAL_10;M;60;574354.16;35;0.0000
MAG_WL_INTEGRAL_10;M;61;585036.92;36;0.0000
MAG_WL_INTEGRAL_10;M;62;595752.72;37;0.0000
MAG_WL_INTEGRAL_10;M;63;606572.14;38;0.0000
MAG_WL_INTEGRAL_10;M;64;617442.43;39;0.0000
MAG_WL_INTEGRAL_10;M;65;628333.64;40;0.0000
MAG_WL_INTEGRAL_10;M;66;639289.09;41;0.0000
