produto;sexo;idade;taxa_anual_por_1mm;capital_max;fonte;origem
ICATU_HORIZONTE_WL10;F;18;24078.959952;;PDF;ICATU\MULHER\ICATU - MULHER - 18 ANOS.pdf
ICATU_HORIZONTE_WL10;F;19;24706.037059;;PDF;ICATU\MULHER\ICATU - MULHER - 19 ANOS.pdf
ICATU_HORIZONTE_WL10;F;20;25348.336322;;PDF;ICATU\MULHER\ICATU - MULHER - 20 ANOS.pdf
ICATU_HORIZONTE_WL10;F;21;26007.601116;;PDF;ICATU\MULHER\ICATU - MULHER - 21 ANOS.pdf
ICATU_HORIZONTE_WL10;F;22;26685.694361;;PDF;ICATU\MULHER\ICATU - MULHER - 22 ANOS.pdf
ICATU_HORIZONTE_WL10;F;23;27383.313409;;PDF;ICATU\MULHER\ICATU - MULHER - 23 ANOS.pdf
ICATU_HORIZONTE_WL10;F;24;28101.215382;;PDF;ICATU\MULHER\ICATU - MULHER - 24 ANOS.pdf
ICATU_HORIZONTE_WL10;F;25;28838.892210;;PDF;ICATU\MULHER\ICATU - MULHER - 25 ANOS.pdf
ICATU_HORIZONTE_WL10;F;26;29598.435943;;PDF;ICATU\MULHER\ICATU - MULHER - 26 ANOS.pdf
ICATU_HORIZONTE_WL10;F;27;30379.468022;;PDF;ICATU\MULHER\ICATU - MULHER - 27 ANOS.pdf
ICATU_HORIZONTE_WL10;F;28;31182.984658;;PDF;ICATU\MULHER\ICATU - MULHER - 28 ANOS.pdf
ICATU_HORIZONTE_WL10;F;29;32008.826459;;PDF;ICATU\MULHER\ICATU - MULHER - 29 ANOS.pdf
ICATU_HORIZONTE_WL10;F;30;32858.149034;;PDF;ICATU\MULHER\ICATU - MULHER - 30 ANOS.pdf
ICATU_HORIZONTE_WL10;F;31;33730.982267;;PDF;ICATU\MULHER\ICATU - MULHER - 31 ANOS.pdf
ICATU_HORIZONTE_WL10;F;32;34628.730823;;PDF;ICATU\MULHER\ICATU - MULHER - 32 ANOS.pdf
ICATU_HORIZONTE_WL10;F;33;35552.928870;;PDF;ICATU\MULHER\ICATU - MULHER - 33 ANOS.pdf
ICATU_HORIZONTE_WL10;F;34;36505.289898;;PDF;ICATU\MULHER\ICATU - MULHER - 34 ANOS.pdf
ICATU_HORIZONTE_WL10;F;35;37483.821478;;PDF;ICATU\MULHER\ICATU - MULHER - 35 ANOS.pdf
ICATU_HORIZONTE_WL10;F;36;38491.512253;;PDF;ICATU\MULHER\ICATU - MULHER - 36 ANOS.pdf
ICATU_HORIZONTE_WL10;F;37;39525.283921;;PDF;ICATU\MULHER\ICATU - MULHER - 37 ANOS.pdf
ICATU_HORIZONTE_WL10;F;38;40584.379358;;PDF;ICATU\MULHER\ICATU - MULHER - 38 ANOS.pdf
ICATU_HORIZONTE_WL10;F;39;41668.041443;;PDF;ICATU\MULHER\ICATU - MULHER - 39 ANOS.pdf
ICATU_HORIZONTE_WL10;F;40;42774.277745;;PDF;ICATU\MULHER\ICATU - MULHER - 40 ANOS.pdf
ICATU_HORIZONTE_WL10;F;41;43902.281331;;PDF;ICATU\MULHER\ICATU - MULHER - 41 ANOS.pdf
ICATU_HORIZONTE_WL10;F;42;45051.305041;;PDF;ICATU\MULHER\ICATU - MULHER - 42 ANOS.pdf
ICATU_HORIZONTE_WL10;F;43;46221.876868;;PDF;ICATU\MULHER\ICATU - MULHER - 43 ANOS.pdf
ICATU_HORIZONTE_WL10;F;44;47417.244471;;PDF;ICATU\MULHER\ICATU - MULHER - 44 ANOS.pdf
ICATU_HORIZONTE_WL10;F;45;48638.633194;;PDF;ICATU\MULHER\ICATU - MULHER - 45 ANOS.pdf
ICATU_HORIZONTE_WL10;F;46;49887.397888;;PDF;ICATU\MULHER\ICATU - MULHER - 46 ANOS.pdf
ICATU_HORIZONTE_WL10;F;47;51166.387727;;PDF;ICATU\MULHER\ICATU - MULHER - 47 ANOS.pdf
ICATU_HORIZONTE_WL10;F;48;52477.415820;;PDF;ICATU\MULHER\ICATU - MULHER - 48 ANOS.pdf
ICATU_HORIZONTE_WL10;F;49;53819.804742;;PDF;ICATU\MULHER\ICATU - MULHER - 49 ANOS.pdf
ICATU_HORIZONTE_WL10;F;50;55193.972903;;PDF;ICATU\MULHER\ICATU - MULHER - 50 ANOS.pdf
ICATU_HORIZONTE_WL10;F;51;56599.242877;;PDF;ICATU\MULHER\ICATU - MULHER - 51 ANOS.pdf
ICATU_HORIZONTE_WL10;F;52;58036.361825;;PDF;ICATU\MULHER\ICATU - MULHER - 52 ANOS.pdf
ICATU_HORIZONTE_WL10;F;53;59504.233911;;PDF;ICATU\MULHER\ICATU - MULHER - 53 ANOS.pdf
ICATU_HORIZONTE_WL10;F;54;60999.880454;;PDF;ICATU\MULHER\ICATU - MULHER - 54 ANOS.pdf
ICATU_HORIZONTE_WL10;F;55;62527.704722;;PDF;ICATU\MULHER\ICATU - MULHER - 55 ANOS.pdf
ICATU_HORIZONTE_WL10;F;56;64092.129906;;PDF;ICATU\MULHER\ICATU - MULHER - 56 ANOS.pdf
ICATU_HORIZONTE_WL10;F;57;65701.245268;;PDF;ICATU\MULHER\ICATU - MULHER - 57 ANOS.pdf
ICATU_HORIZONTE_WL10;F;58;67366.975493;;PDF;ICATU\MULHER\ICATU - MULHER - 58 ANOS.pdf
