produto;sexo;idade_entrada;breakeven_exibido;breakeven_real;regra;resgate_10a_por_1mm;aportes_10a_por_1mm;pct_do_aportado
ICATU_HORIZONTE_WL10;F;18;10;10;FIXO;252651.11;241704.60;104.53
ICATU_HORIZONTE_WL10;F;19;10;10;FIXO;259279.91;247999.20;104.55
ICATU_HORIZONTE_WL10;F;20;10;10;FIXO;266086.27;254446.60;104.57
ICATU_HORIZONTE_WL10;F;21;10;10;FIXO;273068.66;261064.30;104.60
ICATU_HORIZONTE_WL10;F;22;10;10;FIXO;280233.55;267871.00;104.62
ICATU_HORIZONTE_WL10;F;23;10;10;FIXO;287587.40;274873.70;104.63
ICATU_HORIZONTE_WL10;F;24;10;10;FIXO;295136.90;282080.00;104.63
ICATU_HORIZONTE_WL10;F;25;10;10;FIXO;302866.92;289484.80;104.62
ICATU_HORIZONTE_WL10;F;26;10;10;FIXO;310792.45;297109.10;104.61
ICATU_HORIZONTE_WL10;F;27;10;10;FIXO;318891.70;304949.10;104.57
ICATU_HORIZONTE_WL10;F;28;10;10;FIXO;327158.79;313014.80;104.52
ICATU_HORIZONTE_WL10;F;29;10;10;FIXO;335587.68;321304.60;104.45
ICATU_HORIZONTE_WL10;F;30;10;10;FIXO;344165.72;329830.10;104.35
ICATU_HORIZONTE_WL10;F;31;10;10;FIXO;352887.93;338591.60;104.22
ICATU_HORIZONTE_WL10;F;32;10;10;FIXO;361749.47;347603.20;104.07
ICATU_HORIZONTE_WL10;F;33;10;10;FIXO;370752.71;356880.30;103.89
ICATU_HORIZONTE_WL10;F;34;10;10;FIXO;379913.52;366440.10;103.68
ICATU_HORIZONTE_WL10;F;35;10;10;FIXO;389234.33;376262.60;103.45
ICATU_HORIZONTE_WL10;F;36;10;10;FIXO;398718.69;386377.80;103.19
ICATU_HORIZONTE_WL10;F;37;10;10;FIXO;408377.08;396754.80;102.93
ICATU_HORIZONTE_WL10;F;38;10;10;FIXO;418213.82;407386.00;102.66
ICATU_HORIZONTE_WL10;F;39;10;10;FIXO;428221.72;418263.80;102.38
ICATU_HORIZONTE_WL10;F;40;10;10;FIXO;438401.21;429368.20;102.10
ICATU_HORIZONTE_WL10;F;41;10;10;FIXO;448747.15;440691.10;101.83
ICATU_HORIZONTE_WL10;F;42;10;10;FIXO;459261.60;452225.00;101.56
ICATU_HORIZONTE_WL10;F;43;10;10;FIXO;469935.48;463975.20;101.28
ICATU_HORIZONTE_WL10;F;44;10;10;FIXO;480750.20;475974.30;101.00
ICATU_HORIZONTE_WL10;F;45;10;10;FIXO;491717.57;488234.60;100.71
ICATU_HORIZONTE_WL10;F;46;10;10;FIXO;502842.87;500769.70;100.41
ICATU_HORIZONTE_WL10;F;47;10;10;FIXO;514143.74;513608.20;100.10
ICATU_HORIZONTE_WL10;F;48;10;11;FIXO;526768.27;526768.30;100.00
ICATU_HORIZONTE_WL10;F;49;10;11;FIXO;540243.15;540243.20;100.00
ICATU_HORIZONTE_WL10;F;50;10;10;FIXO;554037.15;554037.10;100.00
ICATU_HORIZONTE_WL10;F;51;10;11;FIXO;568143.19;568143.20;100.00
ICATU_HORIZONTE_WL10;F;52;10;10;FIXO;582569.04;582569.00;100.00
ICATU_HORIZONTE_WL10;F;53;10;11;FIXO;597303.46;597303.50;100.00
ICATU_HORIZONTE_WL10;F;54;10;10;FIXO;612316.81;612316.80;100.00
ICATU_HORIZONTE_WL10;F;55;10;11;FIXO;627653.08;627653.10;100.00
ICATU_HORIZONTE_WL10;F;56;11;11;CALCULADO;643356.79;643356.80;100.00
ICATU_HORIZONTE_WL10;F;57;10;10;CALCULADO;659509.11;659509.10;100.00
ICATU_HORIZONTE_WL10;F;58;11;11;CALCULADO;676229.67;676229.70;100.00
ICATU_HORIZONTE_WL10;F;59;10;10;CALCULADO;693652.10;693652.10;100.00
ICATU_HORIZONTE_WL10;F;60;10;10;CALCULADO;711858.11;711858.10;100.00
ICATU_HORIZONTE_WL10;F;61;10;10;CALCULADO;730905.54;730905.50;100.00
ICATU_HORIZONTE_WL10;F;62;10;10;CALCULADO;750779.92;750779.90;100.00
ICATU_HORIZONTE_WL10;F;63;10;10;CALCULADO;771433.72;771433.70;100.00
ICATU_HORIZONTE_WL10;F;64;10;10;CALCULADO;792764.10;792764.10;100.00
ICATU_HORIZONTE_WL10;F;65;11;11;CALCULADO;814771.58;814771.60;100.00
ICATU_HORIZONTE_WL10;F;66;10;10;CALCULADO;837572.33;837572.30;100.00
ICATU_HORIZONTE_WL10;F;67;11;11;CALCULADO;861380.87;861380.90;100.00
ICATU_HORIZONTE_WL10;F;68;10;10;CALCULADO;886533.84;886533.80;100.00
ICATU_HORIZONTE_WL10;F;69;10;10;CALCULADO;913490.93;913490.90;100.00
ICATU_HORIZONTE_WL10;F;70;10;10;CALCULADO;942618.23;942618.20;100.00
ICATU_HORIZONTE_WL10;F;71;10;10;CALCULADO;974198.60;974198.60;100.00
ICATU_HORIZONTE_WL10;F;72;;;CALCULADO;1000000.00;1008404.30;99.17
ICATU_HORIZONTE_WL10;F;73;;;CALCULADO;1000000.00;1045272.30;95.67
ICATU_HORIZONTE_WL10;F;74;;;CALCULADO;1000000.00;1084787.00;92.18
ICATU_HORIZONTE_WL10;F;75;;;CALCULADO;1000000.00;1127020.40;88.73
ICATU_HORIZONTE_WL10;M;18;10;10;FIXO;286018.66;278865.20;102.57
ICATU_HORIZONTE_WL10;M;19;10;10;FIXO;293376.15;285514.50;102.75
ICATU_HORIZONTE_WL10;M;20;10;10;FIXO;300959.63;292273.40;102.97
ICATU_HORIZONTE_WL10;M;21;10;10;FIXO;308769.62;299193.30;103.20
ICATU_HORIZONTE_WL10;M;22;10;10;FIXO;316792.20;306315.90;103.42
ICATU_HORIZONTE_WL10;M;23;10;10;FIXO;325035.73;313686.00;103.62
ICATU_HORIZONTE_WL10;M;24;10;10;FIXO;333486.84;321325.90;103.78
ICATU_HORIZONTE_WL10;M;25;10;10;FIXO;342147.37;329259.80;103.91
ICATU_HORIZONTE_WL10;M;26;10;10;FIXO;351012.05;337513.90;104.00
ICATU_HORIZONTE_WL10;M;27;10;10;FIXO;360076.34;346091.40;104.04
ICATU_HORIZONTE_WL10;M;28;10;10;FIXO;369329.43;354983.80;104.04
ICATU_HORIZONTE_WL10;M;29;10;10;FIXO;378768.02;364195.60;104.00
ICATU_HORIZONTE_WL10;M;30;10;10;FIXO;388382.53;373720.10;103.92
ICATU_HORIZONTE_WL10;M;31;10;10;FIXO;398170.82;383563.50;103.81
ICATU_HORIZONTE_WL10;M;32;10;10;FIXO;408118.32;393708.40;103.66
ICATU_HORIZONTE_WL10;M;33;10;10;FIXO;418237.14;404175.40;103.48
ICATU_HORIZONTE_WL10;M;34;10;10;FIXO;428513.78;414949.10;103.27
ICATU_HORIZONTE_WL10;M;35;10;10;FIXO;438955.39;426039.80;103.03
ICATU_HORIZONTE_WL10;M;36;10;10;FIXO;449550.75;437446.40;102.77
ICATU_HORIZONTE_WL10;M;37;10;10;FIXO;460308.53;449169.70;102.48
ICATU_HORIZONTE_WL10;M;38;10;10;FIXO;471225.48;461198.40;102.17
ICATU_HORIZONTE_WL10;M;39;10;10;FIXO;482305.88;473534.30;101.85
