seguradora;produto;produto_pdf;sexo;idade;capital;premio_anual_sem_iof;premio_anual_com_iof;premio_mensal;anos_pagamento;data_cotacao;arquivo
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;18;1000000.0;24170.46;;2042.63;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 18 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;19;1000000.0;24799.92;;2095.85;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 19 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;20;1000000.0;25444.66;;2150.36;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 20 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;21;1000000.0;26106.43;;2206.32;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 21 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;22;1000000.0;26787.1;;2263.88;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 22 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;23;1000000.0;27487.37;;2323.1;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 23 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;24;1000000.0;28208.0;;2384.04;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 24 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;25;1000000.0;28948.48;;2446.67;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 25 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;26;1000000.0;29710.91;;2511.17;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 26 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;27;1000000.0;30494.91;;2577.49;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 27 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;28;1000000.0;31301.48;;2645.75;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 28 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;29;1000000.0;32130.46;;2715.91;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 29 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;30;1000000.0;32983.01;;2788.08;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 30 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;31;1000000.0;33859.16;;2862.28;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 31 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;32;1000000.0;34760.32;;2938.62;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 32 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;33;1000000.0;35688.03;;3017.23;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 33 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;34;1000000.0;36644.01;;3098.27;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 34 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;35;1000000.0;37626.26;;3181.57;10;12/12/2025;ICATU\MULHER\ICATU - MULHER - 35 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;36;1000000.0;38637.78;;3267.38;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 36 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;37;1000000.0;39675.48;;3355.44;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 37 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;38;1000000.0;40738.6;;3445.68;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 38 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;39;1000000.0;41826.38;;3538.05;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 39 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;40;1000000.0;42936.82;;3632.38;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 40 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;41;1000000.0;44069.11;;3728.59;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 41 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;42;1000000.0;45222.5;;3826.64;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 42 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;43;1000000.0;46397.52;;3926.56;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 43 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;44;1000000.0;47597.43;;4028.65;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 44 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;45;1000000.0;48823.46;;4133.03;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 45 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;46;1000000.0;50076.97;;4239.81;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 46 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;47;1000000.0;51360.82;;4349.23;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 47 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;48;1000000.0;52676.83;;4461.46;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 48 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;49;1000000.0;54024.32;;4576.44;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 49 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;50;1000000.0;55403.71;;4694.2;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 50 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;51;1000000.0;56814.32;;4814.69;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 51 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;52;1000000.0;58256.9;;4938.01;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 52 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;53;1000000.0;59730.35;;5064.09;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 53 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;54;1000000.0;61231.68;;5192.72;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 54 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;F;55;1000000.0;62765.31;;5324.32;10;13/01/2026;ICATU\MULHER\ICATU - MULHER - 55 ANOS.pdf
